City,Province,Latitude,Longitude,Price,Bedrooms,Bathrooms,Acreage,Property Type,Square Footage,Garage,Parking,Basement,Exterior,Fireplace,Heating,Flooring,Roof,Waterfront,Sewer,Pool,Garden,Balcony
West Kelowna,BC,49.8443382,-119.6191141,579900.0,2.0,2.0,0.09,Single Family,1924.0,Yes,Yes,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Armstrong,BC,50.4303246,-119.1856232,809900.0,3.0,3.0,0.11,Single Family,2344.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8184807,-119.4415099,1200000.0,3.0,3.0,0.5,Single Family,1989.0,Yes,No,Partial,Metal,No,forced air,carpet,asphalt,No,septic,No,No,No
Vernon,BC,50.1717555,-119.4400054,624900.0,3.0,3.0,0.0,Single Family,1379.0,No,Yes,No basement,Concrete,No,forced air,wood,metal,No,municipal,No,No,No
Vernon,BC,50.2780685,-119.2606888,649900.0,2.0,2.0,0.0,Single Family,1164.0,Yes,No,No basement,Vinyl,Yes,forced air,vinyl,asphalt,No,municipal,No,No,No
Beasley,BC,49.4836769,-117.4586487,2299999.0,2.0,2.0,15.16,Single Family,3748.0,Yes,Yes,No basement,Wood,Yes,heat pump,carpet,asphalt,No,septic,No,No,No
West Kelowna,BC,49.8516761,-119.6408686,929000.0,6.0,3.0,0.19,Single Family,3152.0,Yes,No,Finished,Concrete,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8694162,-119.3562449,999000.0,5.0,3.0,0.15,Single Family,2675.0,Yes,No,Finished,Vinyl,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8168219,-119.4758573,1875000.0,7.0,5.0,0.55,Single Family,5789.0,Yes,Yes,Partial,Wood,Yes,forced air,carpet,tile,No,municipal,No,No,No
Princeton,BC,49.4739761,-120.5236511,879900.0,3.0,2.0,0.54,Single Family,1824.0,Yes,No,No basement,Composite,Yes,forced air,vinyl,asphalt,No,none,No,No,No
Invermere,BC,50.4954376,-116.0212708,1245000.0,4.0,3.0,0.2,Single Family,2610.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8984699,-119.3894125,825000.0,5.0,2.0,0.21,Single Family,2400.0,Yes,No,Finished,Vinyl,Yes,forced air,vinyl,asphalt,No,municipal,No,No,No
Lumby,BC,50.281971,-118.9451828,2699000.0,5.0,4.0,145.0,Single Family,3368.0,No,No,Finished,Brick,Yes,forced air,other,asphalt,No,septic,No,No,No
Invermere,BC,50.517292,-115.9964142,479500.0,4.0,3.0,0.25,Single Family,2005.0,No,No,Finished,Vinyl,Yes,forced air,other,asphalt,No,septic,No,No,No
Lillooet,BC,50.7142296,-121.916893,749000.0,5.0,2.0,0.75,Single Family,2800.0,Yes,Yes,Finished,Wood,No,heat pump,carpet,asphalt,No,septic,No,No,No
Kelowna,BC,49.7918496,-119.5179426,1149000.0,4.0,4.0,0.12,Single Family,2963.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Naramata,BC,49.5970814,-119.5941618,749000.0,2.0,1.0,0.1,Single Family,816.0,Yes,No,No basement,Composite,Yes,radiant,other,asphalt,No,septic,No,No,No
Enderby,BC,50.5539614,-119.1502799,1180000.0,4.0,5.0,0.22,Single Family,4332.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kamloops,BC,50.6871948,-120.3447647,499900.0,4.0,2.0,0.14,Single Family,2085.0,No,No,Finished,Concrete,No,forced air,carpet,asphalt,No,municipal,No,No,No
Vernon,BC,50.2598502,-119.2486177,719000.0,2.0,2.0,0.16,Single Family,1735.0,Yes,No,No basement,Concrete,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Sicamous,BC,50.8362465,-118.9727783,580000.0,3.0,2.0,0.15,Single Family,1824.0,Yes,Yes,Finished,Vinyl,Yes,radiant,laminate,asphalt,No,municipal,No,No,No
Ashcroft,BC,50.7208977,-121.2725754,699900.0,4.0,4.0,0.17,Single Family,2744.0,Yes,No,Finished,Vinyl,No,forced air,other,asphalt,No,municipal,No,No,No
Spallumcheen,BC,50.4452229,-119.1529841,940000.0,4.0,3.0,0.43,Single Family,2475.0,Yes,Yes,Partial,Brick,Yes,forced air,wood,asphalt,No,septic,No,No,No
Barriere,BC,51.1846199,-120.1231461,350000.0,2.0,1.0,0.22,Single Family,2315.0,Yes,Yes,Partial,Wood,No,radiant,laminate,metal,No,municipal,No,No,No
Lake Country,BC,50.0861078,-119.4468553,2250000.0,4.0,3.0,1.9,Single Family,3466.0,No,Yes,Finished,Wood,Yes,heat pump,carpet,asphalt,No,septic,No,No,No
West Kelowna,BC,49.8356729,-119.6524541,889000.0,4.0,3.0,0.24,Single Family,2098.0,Yes,No,Finished,Concrete,Yes,forced air,vinyl,asphalt,No,municipal,No,No,No
Penticton,BC,49.4585403,-119.5808685,725000.0,2.0,2.0,0.0,Single Family,1483.0,Yes,No,No basement,Concrete,Yes,forced air,laminate,asphalt,No,municipal,No,No,No
Armstrong,BC,50.4489136,-119.2058868,749900.0,6.0,3.0,0.43,Single Family,3269.0,Yes,Yes,Finished,Metal,Yes,forced air,laminate,asphalt,No,municipal,No,No,No
Sparwood,BC,49.7315428,-114.8906378,535000.0,4.0,2.0,0.17,Single Family,1593.0,No,No,Finished,Concrete,Yes,forced air,tile,asphalt,No,municipal,No,No,No
Kelowna,BC,49.82317,-119.4880006,937000.0,4.0,3.0,0.21,Single Family,2083.0,Yes,No,Finished,Concrete,No,forced air,vinyl,asphalt,No,municipal,No,No,No
Cranbrook,BC,49.4915071,-115.7795741,789000.0,3.0,3.0,0.22,Single Family,2198.0,Yes,Yes,Finished,Vinyl,No,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.7948761,-119.5226995,1399900.0,5.0,3.0,0.34,Single Family,3745.0,Yes,No,Partial,Wood,Yes,forced air,carpet,asphalt,No,septic,No,No,No
Kuskanook,BC,49.2950439,-115.1110611,399000.0,2.0,1.0,0.56,Single Family,1551.0,No,No,Finished,Metal,Yes,radiant,laminate,metal,No,septic,No,No,No
Keremeos,BC,49.2263107,-119.8156433,899000.0,3.0,3.0,10.05,Single Family,2265.0,No,No,No basement,Metal,Yes,heat pump,vinyl,metal,No,septic,No,No,No
Penticton,BC,49.4918686,-119.6123163,869000.0,2.0,2.0,0.11,Single Family,1960.0,Yes,No,No basement,Concrete,Yes,forced air,wood,shingle,No,municipal,No,No,No
Kelowna,BC,49.8868514,-119.4628014,879900.0,6.0,2.0,0.13,Single Family,1948.0,No,No,Finished,Concrete,No,radiant,laminate,tar,No,municipal,No,No,No
Princeton,BC,49.5415649,-120.7406387,1149000.0,4.0,3.0,0.54,Single Family,2553.0,Yes,Yes,Finished,Wood,Yes,radiant,carpet,metal,No,septic,No,No,No
Cranbrook,BC,49.4985459,-115.7791682,879000.0,6.0,4.0,0.28,Single Family,4252.0,Yes,Yes,Finished,Vinyl,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Vernon,BC,50.2740974,-119.2878418,1200000.0,3.0,3.0,0.12,Single Family,2958.0,Yes,No,Finished,Composite,Yes,forced air,tile,asphalt,No,municipal,No,No,No
Vernon,BC,50.2547751,-119.2995383,835000.0,2.0,2.0,0.18,Single Family,1937.0,Yes,No,No basement,Vinyl,No,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.7873764,-119.5165558,1350000.0,6.0,5.0,0.14,Single Family,3440.0,Yes,No,Finished,Wood,Yes,forced air,tile,asphalt,No,municipal,No,No,No
Nakusp,BC,50.2431564,-117.800415,796900.0,7.0,4.0,0.26,Single Family,4300.0,Yes,Yes,Finished,Wood,No,forced air,wood,metal,No,municipal,No,No,No
Spallumcheen,BC,50.4691836,-119.1307601,1590000.0,5.0,3.0,28.42,Single Family,2564.0,Yes,Yes,Finished,Vinyl,Yes,radiant,carpet,metal,No,septic,No,No,No
West Kelowna,BC,49.8318304,-119.6110801,589900.0,2.0,2.0,0.0,Single Family,1029.0,Yes,Yes,No basement,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kamloops,BC,50.7535452,-120.3467667,1199900.0,6.0,4.0,0.12,Single Family,3546.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Castlegar,BC,49.247504,-117.655826,449000.0,3.0,1.0,0.29,Single Family,1183.0,No,No,Partial,Wood,Yes,heat pump,vinyl,asphalt,No,septic,No,No,No
Kelowna,BC,49.8765804,-119.4834684,699000.0,3.0,1.0,0.14,Single Family,812.0,Yes,Yes,No basement,Vinyl,No,forced air,vinyl,asphalt,No,municipal,No,No,No
Kamloops,BC,50.6387167,-120.1239872,1249900.0,4.0,4.0,2.6,Single Family,3420.0,Yes,Yes,Finished,Wood,Yes,forced air,other,other,No,none,No,No,No
Vernon,BC,50.304609,-119.221958,995900.0,5.0,3.0,0.18,Single Family,3004.0,Yes,Yes,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Merritt,BC,50.1906052,-120.5162735,849000.0,4.0,3.0,1.0,Single Family,1952.0,No,Yes,Finished,Composite,Yes,heat pump,wood,asphalt,No,municipal,No,No,No
Windermere,BC,50.5076408,-116.0095673,949000.0,3.0,3.0,0.18,Single Family,2014.0,Yes,No,Finished,Metal,Yes,heat pump,vinyl,metal,No,municipal,No,No,No
Kamloops,BC,50.6620822,-120.2699933,1329900.0,5.0,3.0,0.26,Single Family,3380.0,Yes,Yes,Finished,Composite,Yes,forced air,other,asphalt,No,municipal,No,No,No
Ymir,BC,49.31927,-117.231989,2350000.0,3.0,2.0,41.9,Single Family,3196.0,Yes,No,Finished,Wood,No,radiant,wood,metal,No,septic,No,No,No
Ymir,BC,49.282684,-117.217291,459000.0,4.0,2.0,0.15,Single Family,2252.0,Yes,No,Partial,Metal,Yes,forced air,vinyl,metal,No,none,No,No,No
Vernon,BC,50.1840248,-119.3837204,1999000.0,4.0,4.0,0.27,Single Family,3250.0,Yes,No,Finished,Brick,Yes,forced air,carpet,metal,No,municipal,No,No,No
Kimberley,BC,49.665528,-115.969744,700000.0,3.0,3.0,0.22,Single Family,2356.0,Yes,Yes,Finished,Wood,Yes,forced air,other,asphalt,No,municipal,No,No,No
Kelowna,BC,49.9035615,-119.4739302,3495000.0,4.0,6.0,0.47,Single Family,6831.0,Yes,No,Finished,Concrete,Yes,forced air,other,other,No,municipal,No,No,No
Penticton,BC,49.4681435,-119.5656469,829000.0,4.0,3.0,0.08,Single Family,2172.0,Yes,No,No basement,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
